response_id,topic,value,response_date,student_year,procedure,improvement,question,academic_year,label
R_08MCsRyvq7PKbux,t_4,0.44000000000000006,2021-06-26T01:01:49Z,D3,Exam/Tx Plan,I think the appoint went by pretty smoothly,NA,2021-2022,time crown impression denture occlusion bite tray
R_08MCsRyvq7PKbux,t_5,0.44000000000000006,2021-06-26T01:01:49Z,D3,Exam/Tx Plan,I think the appoint went by pretty smoothly,NA,2021-2022,contact margin prep composite restoration bur remove
R_08v8rqFqtFVjpkt,t_2,0.9822222222222223,2021-07-29T04:30:00Z,D3,Periodontics,"The patient presented today was for a periodontal maintenance. She had heavy calculus deposit at the lower lingual of the anteriors, as well as areas in the posterior teeth. Once I was done with using the Cavitron, I went back with the hand instruments to finish off the cleaning. Next time, I would like to be able to use the Cavitron more effectively so that it will not take too long to go over the surfaces again with the hand instruments.",None,2021-2022,time calculus hand instrument molar scale probe
R_09fUSym2nXtbbyN,t_4,0.7763440860215054,2021-09-03T19:33:02Z,D3,Prosthodontics,"Next time I would like to be prepared with the scanner from the beginning of the appointment so that any potential difficulties that arise can be accounted for. Last time I tried the prime scan but she did not like the digital scanner / was in a rush to leave for another commitment, and so we switched to the alginate impression, where we werent able to achieve the posterior of the second molars as well. Just not sure how to combat this problem. Thank you so much for working with us today! Looking forward to","Dr. Krezel, do you have any tips for taking either a digital or alginate impression for a bitesplint for a patient with a bad gag reflex? I remember we avoided the digital impression the first time around because she did not like the digital scanner when we got to the distal of her second molars, but perhaps this time I can find a way to get around that?",2021-2022,time crown impression denture occlusion bite tray
R_09fVpx7LQ2okHzH,t_3,0.9578947368421052,2021-06-07T23:28:35Z,D3,Restorative,I want to time my appointments better so a simple periodic exam doesn't take the full 2 hours and 45 minutes.,NA,2021-2022,exam time patient plan complete faculty appointment
R_0AFZhyLumzfCfyp,t_4,0.8400000000000001,2021-04-06T16:19:18Z,D3,Prosthodontics,I would like to be able to self-evaluate my impression better,NA,2020-2021,time crown impression denture occlusion bite tray
R_0Ao0Ijp8Ai7k4s9,t_5,0.9619047619047618,2020-09-28T22:07:24Z,D3,Restorative,"Use different shades of filtek to better match the opacity of the tooth. The shade done today was too light, as the tooth did not have much transparency. I would also use the flame to help smooth the margin more.",NA,2020-2021,contact margin prep composite restoration bur remove
R_0AOCfVEm6yUZkGt,t_3,0.4926829268292683,2021-08-03T20:23:13Z,D3,Prosthodontics,Know the steps/requirements for getting implant locator changing instruments/pieces,"Since these can be changed every 6 mo - and a denture re-eval/periodic exam is yearly, is it best to just tell the patient to contact you if they are feeling them get loose, or if not to just see them at that yearly re-eval to look at them and see if they need to be replaced? Thanks for your help today!",2021-2022,exam time patient plan complete faculty appointment
R_0AOefRbnMf7dmuJ,t_5,0.9384615384615385,2021-03-24T17:19:00Z,D3,Restorative,I would like to remember to put a bevel for a facial composite with little retentive features,NA,2020-2021,contact margin prep composite restoration bur remove
R_0Bv8hJ8uAc5B6Ux,t_5,0.7714285714285714,2021-04-14T20:42:47Z,D3,Restorative,"Dr. Shortt gave me tips on how to use the 171 bur to lower the gingival floor and break contact. Overall, the appointment went great!",NA,2020-2021,contact margin prep composite restoration bur remove
R_0BWueZVtVK31VPb,t_2,0.7454545454545454,2021-03-18T16:52:07Z,D3,Periodontics,Be more effective at adapting the end of the cavitron tip to the tooth,NA,2020-2021,time calculus hand instrument molar scale probe
R_0BYvhAQRRMrnOwN,t_3,0.7333333333333334,2021-05-20T03:30:43Z,D3,Periodontics,Prepare well.,NA,2021-2022,exam time patient plan complete faculty appointment
R_0c5twyApirEaim5,t_3,0.9578947368421052,2021-10-18T19:25:17Z,D3,Prosthodontics,"Next time I would like to work on efficiency and try to give myself a certain amount of time to work on something until I move on. This will prevent me from trying to perfect everything, which ends up slowing the process.

Thank you again for your help today!",NA,2021-2022,exam time patient plan complete faculty appointment
R_0CAyTPZ58oseS7n,t_1,0.47692307692307695,2021-02-17T03:19:20Z,D3,Restorative,"This case was difficulty for me for some reason. Usually, I don't think I struggle this much but I now know how to handle little chips of a tooth. Thanks for helping me out",NA,2020-2021,caries patient plan treatment tooth lesion option
R_0CAyTPZ58oseS7n,t_2,0.47692307692307695,2021-02-17T03:19:20Z,D3,Restorative,"This case was difficulty for me for some reason. Usually, I don't think I struggle this much but I now know how to handle little chips of a tooth. Thanks for helping me out",NA,2020-2021,time calculus hand instrument molar scale probe
R_0CD883vOtOslj4l,t_4,0.6275862068965516,2021-01-27T18:41:54Z,D3,Restorative,"Next time, I would like to be more aggressive with my drilling so it does not take me as long.","The patient texted me and said the temp is already loose. When it gets re-cement tomorrow, should I take it more out of occlusion? I painted the walls with Temp Bond so I am not sure why it already came loose. Let me know, thanks!",2020-2021,time crown impression denture occlusion bite tray
R_0CfpYMyrnZC7ztn,t_2,0.610126582278481,2021-07-14T21:45:41Z,D3,Periodontics,"I had a hard time adapting to removing calculus on the patients occlusal surfaces and around the mesial, where a large deposit presented. After discussing with Dr. Yu, I learned that the tooth has slightly hyper-erupted, as well as no opposing tooth led to more deposits around this area - nothing hitting the chewing surface. Next time when I see this case, where there is more build up on one molar compared to the other I will have a better understanding of what caused this.",Is there anything we can do for patient when we see this besides replacing the missing tooth or increasing oral hygiene. Is there anything else were able to do to prevent more of the buildup on this side? Thank you for all your help!,2021-2022,time calculus hand instrument molar scale probe
R_0cSdwLytUdm5Wa5,t_3,0.47692307692307695,2021-02-12T15:26:40Z,D3,Restorative,I think everything went very well. The only thing I would like to do differently is be more prepared with the armamentarium. We had to wait and get approval for the cavitron which took time away from the cleaning.,NA,2020-2021,exam time patient plan complete faculty appointment
R_0CUqq4yIpjRUmYx,t_1,0.9582089552238806,2020-12-08T22:53:45Z,D3,Exam/Tx Plan,"I hope to improve upon recognition of abnormalities or signs of pathology in radiographs. I also hope to improve upon comprehensive care as opposed to problem-focused care to benefit patients long term. For this case specifically, I would have liked to be able to identify the PARLs associated with #2, #3 and #14 when reviewing the radiographs. I also would have liked to be able to recognize that treating #14 while also treating #2 and #3 will provide the patient with a comprehensive better result for long-t",NA,2020-2021,caries patient plan treatment tooth lesion option
R_0cv8nzUOY6c8Ssh,t_3,0.6711111111111111,2020-10-16T20:36:56Z,D3,Periodontics,"One thing I would like to do differently would be to communicate the desire to complete a smaller restoration after completing the prophy and have the doctor overseeing the treatment recommend a planned restoration that is feasible for the remaining time in the appointment slot. With such limited time in the clinics, being efficient with limited opportunities is important.",NA,2020-2021,exam time patient plan complete faculty appointment
R_0d2HVb5ZndSXWP7,t_5,0.7333333333333333,2021-06-29T17:05:22Z,D3,Restorative,"Next time I need to be more efficient in matrix placement so I can have more time to contour the restoration at the end. I got really flustered and panicked when I couldnt get the matrix band sealed, so next time I need to take a step back, calm down, and try again with different technique.",NA,2021-2022,contact margin prep composite restoration bur remove
R_0dBAkixB6QDqS65,t_3,0.8133333333333332,2021-05-14T22:58:29Z,D3,Periodontics,I would like to be more aware/ more on it with MiDent. My assistant helped me so much with that and Im worried that without her I may have ran out of time.,NA,2021-2022,exam time patient plan complete faculty appointment
R_0dekFHgTaqrIx7H,t_3,0.9272727272727272,2021-02-05T12:51:46Z,D3,Periodontics,I would like to better understand the effects of medications on oral health.,NA,2020-2021,exam time patient plan complete faculty appointment
R_0dJ6ZIZytuxH1Sx,t_5,0.6815533980582524,2021-05-19T22:36:13Z,D3,Exam/Tx Plan,"I would like to get more efficient in my intraoral exam and looking at the teeth for any issues, caries, and existing restorations. I feel that it is easy to get overwhelmed, I need to come up with a path/plan when traveling around the mouth to follow and make sure I am not missing anything or wasting time.","Dr. Vij, when you are dealing with a patient with very deep anatomy (grooves and pits) at what point would it be best to seal these with a flowable or sealant?  I feel that this could prevent the future progression to caries and require a restoration, when dealing with deep buccal and lingual groves and pits on posterior teeth it could be advantages to create an environment that is less likely to harbor caries.  I just felt like my patient today had tooth anatomy that makes him more prone to having caries i",2021-2022,contact margin prep composite restoration bur remove
R_0DJxGnBlb1PSdrj,t_1,0.47796610169491527,2021-04-01T16:34:16Z,D3,Periodontics,"To be honest, this case had me questioning my clinical judgement a bit in terms of her perio diagnosis. After completing the perio chart and finding relatively little BOP,  I was worried that I had missed the boat considering her several significant radiographic calculus deposits. Compressing the gingival papillae (GBI technique) only confirmed most what I had already charted. It made perfect sense that her capillaries were still intact to go along with healthy stippled gingiva. Looking forward to working o",Thanks again!,2020-2021,caries patient plan treatment tooth lesion option
R_0DmCSYILQrGryFj,t_1,0.9619047619047618,2020-11-07T21:15:32Z,D3,Restorative,I did not think of SDF as a treatment option for a tooth that my patient wanted to prolong treatment on. I think that is a treatment I need to be more familiar with and remember it is an option in these cases.,NA,2020-2021,caries patient plan treatment tooth lesion option
R_0dNhJJVTOjFlwTn,t_3,0.8133333333333332,2021-10-06T22:27:27Z,D3,Restorative,I am hoping to better understand my treatment plan prior to beginning treatment.,NA,2021-2022,exam time patient plan complete faculty appointment
R_0exFH9pdeSwJF85,t_1,0.8026666666666668,2021-06-25T21:27:01Z,D3,Exam/Tx Plan,"Next time I would like to be better with not assuming sensitivity + staining is caries, especially when (1) the areas are not visibly decayed in the radiographs and (2) the patient is sensitive everywhere. 

I guess I also could have completed the prophy during the same appointment, but I didnt anticipate how quick wed get through such an extensive chart. Maybe next time I can try to restore a smaller lesion and complete the treatment prophy at the same appointment?


Thank you so much as always Dr. Zahraa",How do we address a patients diet without offending them? And I guess the same question for hygiene: if someone says they never eat sugar or floss like everyday when you can tell they dontwhat do you do?,2021-2022,caries patient plan treatment tooth lesion option
R_0eXnhEaWQTirfZ7,t_2,0.7846153846153846,2021-10-20T20:52:48Z,D3,Periodontics,I would like to spend more time getting more of the staining off of the pt's teeth.,None at this time.,2021-2022,time calculus hand instrument molar scale probe
R_0fa7jW7IzA1FL6V,t_1,0.7806451612903226,2021-07-16T03:15:53Z,D3,Restorative,"Hi, Dr. Migdal! Thank you for already sending along your feedback. It was a pleasure to work with you, and I look forward to reading the article that you recommended! As I am relatively new to patient care, I am still learning my anesthetic preferences. However, I have worked with articaine a few times and have had great success! Thank you!",NA,2021-2022,caries patient plan treatment tooth lesion option
R_0fClYQI1TisNBQd,t_3,0.7846153846153846,2021-07-15T12:43:43Z,D3,Restorative,Do not listen to patients about high points and trust clinical findings.,How may I improve?,2021-2022,exam time patient plan complete faculty appointment
R_0GN65WBfIXP2fNn,t_4,0.5854545454545456,2021-09-13T20:22:00Z,D3,Restorative,"I really liked the anatomy I had in the occlusal composite when I first cured it, but after checking with articulating paper and adjusting the high spots I felt like it took out all the anatomy. I would like to get better at adjusting the occlusion without losing the anatomy or learning how to add that anatomy back in.",Is that typical to lose all the anatomy after adjusting for occlusion? Do you add some anatomy back in after adjusting the occlusion?,2021-2022,time crown impression denture occlusion bite tray
R_0GRuoYOG7XrMDGp,t_3,0.6,2021-01-30T00:24:15Z,D3,Exam/Tx Plan,"Next time, I will definitely provide a more thorough cleaning. I did not have much time left in the appointment and my patient does have to drive an hour away from home to reach the clinic. However, that should be no excuse to providing him a brief, incomplete cleaning. Next time, I will be sure to mark the treatment as in progress. I will be sure to check for his subgingival deposits at the next restorative treatment appointment.",NA,2020-2021,exam time patient plan complete faculty appointment
R_0H72HgigpuEnaFj,t_4,0.9652173913043478,2021-01-27T18:02:28Z,D3,Prosthodontics,I should be more aware of the time taking for each procedure and plan it better. I learned how to repair defects of provisional made by integrate.,"NA. Thank you Dr. Oh!",2020-2021,time crown impression denture occlusion bite tray
R_0HBSvylzDIBKNt7,t_3,0.592156862745098,2021-06-11T02:13:56Z,D3,Restorative,"This was the first restoration that Ive prepped and restored. Overall I thought the appointment went very well. If there is one major aspect I would like to do different, it would be how I organize my instruments. I remember at one point looking at my tray and seeing several instruments scattered to the point it restricted my ability to be efficient. Being more organized will improve efficiency and allow me to find the instrument I need much easier. I greatly enjoyed the treatment planning conversation I ha",NA,2021-2022,exam time patient plan complete faculty appointment
R_0HF0oAHfEj5iCgp,t_4,0.6342857142857142,2021-08-03T22:47:17Z,D3,Prosthodontics,Next time I will remember to use the putty. I had it ready to go but completely missed that step. Now I will remember from this point forward. Thank you for your help today. I learned how to temporize a prep without a stent/mold and how to react in situations where things aren't going as expected.,None at this time,2021-2022,time crown impression denture occlusion bite tray
R_0HuArHdv49QRuZX,t_5,0.6914285714285714,2021-05-25T21:40:44Z,D3,Restorative,"Thanks so much for your help Dr. Romzick. It was my first restoration in clinic!! I am not used to finishing and polishing because in sim lab we were told to ""put it in perfect"" and that using finishing burs would ""ruin the typodont teeth."" I was lucky to have a D4's help with that. I think the restoration went really well, but I could see where the margin was when I was finished.",NA,2021-2022,contact margin prep composite restoration bur remove
R_0I0q0l9tEPtLuPD,t_3,0.5636363636363636,2020-08-31T15:59:02Z,D3,Prosthodontics,"I could have been done more efficient in the treatment plan and evaluating the prognosis the case. 
",NA,2020-2021,exam time patient plan complete faculty appointment
R_0i8xYYW3B4oJzmV,t_2,0.8044444444444445,2021-09-01T00:37:39Z,D3,Periodontics,"This was the first time I completed scaling and root planing, and it was a great learning experience. I had a more difficult time reaching into the furcations, but Dr. Wang demonstrated how the gracey curettes can be useful for accessing those areas. This is a technique that I will keep in mind when I scale the right side at the next appointment with this patient.",Thank you for the help today!,2021-2022,time calculus hand instrument molar scale probe
R_0IjN2pzR34PQckp,t_4,0.7723076923076924,2020-11-25T09:03:22Z,D3,Prosthodontics,"I had a D5650A RPD delivery today and one thing that I learned was checking for balanced occlusion. Tooth #6 was added to an existing upper RPD and when checking for occlusion, my focus was only on tooth #6. I had the pt bite down and adjust until he said he didn't feel like his bite wasn't high anymore like you would do with a restoration but this was not how you check for occlusion when doing dentures. It was my first denture experience and I learned and will grow from this experience!",NA,2020-2021,time crown impression denture occlusion bite tray
R_0IjO7wj6X5LI5fb,t_1,0.5809523809523809,2021-07-02T14:22:24Z,D3,Exam/Tx Plan,I should have connected with his perio resident before the appointment to see if I could have done the periodontal maintenance today as well. This will likely be completed next visit with 30O (the crown repair).,NA,2021-2022,caries patient plan treatment tooth lesion option
R_0iw437ir99kXK2R,t_2,0.7473684210526316,2021-09-13T14:06:24Z,D3,Periodontics,Double check prophylaxis by using air. I had missed a few spots due to crowding in the anterior.,NA,2021-2022,time calculus hand instrument molar scale probe
R_0iZjm4vYdK38iMp,t_1,0.7454545454545454,2021-03-17T17:37:36Z,D3,Restorative,"Next time, I should probably look up the criteria for test cases prior to actually coming in and trying to do one to make sure that it will actually be an option. Other than that everything went quite well.",NA,2020-2021,caries patient plan treatment tooth lesion option
R_0j0MkT1W87TrhTz,t_5,0.8451612903225806,2021-08-06T17:11:09Z,D3,Restorative,completely remove all caries prior to the prep check as I left some in the floor of the preps,"none, thank you for your help today and for demonstrating proper use of the interproximal strips to remove overhangs",2021-2022,contact margin prep composite restoration bur remove
R_0JIE8u8MwYndXRD,t_1,0.903448275862069,2021-02-06T15:21:33Z,D3,Restorative,Next time I want to recognize myself about the different tx options after RCT and present them to the patient; I would like to focus on what the most conservative tx is for the pt,how do you think i can improve for a similar appointment next time?,2020-2021,caries patient plan treatment tooth lesion option
R_0JJBKdGK434l0lz,t_4,0.7846153846153846,2021-06-03T21:04:44Z,D3,Restorative,Illuminate teeth correctly to check for shadowing,"None! Thank you again, Dr. Mark. I appreciate your help.",2021-2022,time crown impression denture occlusion bite tray
R_0jKuWpgcSqb5u0N,t_4,0.9238095238095239,2021-11-01T21:05:51Z,D3,Prosthodontics,"After taking a BW to confirm seating of #31 zirconia crown, a mesial short margin was noted. We took new triple tray impressions so we could trim the die model ourselves. Also, I learned that I should ALWAYS create a new lab slip, rather than edit an already processed lab order, even if it is for the same procedure",Do you often request the die model from the lab so that you can trim it yourself? Is this the only way to avoid short margins?,2021-2022,time crown impression denture occlusion bite tray
R_0job3HU2Oik4AiB,t_1,0.6727272727272727,2020-10-29T14:43:24Z,D3,Periodontics,"Perio consult for recession and deep pockets; there were one or two pockets that were deeper than what I had on my perio chart, so next time I would like to make sure I don't miss those.","None, I am interested in specializing in periodontics, so I appreciate the opportunity to talk about the patient's recession and periodontal concessions at the end, thank you!",2020-2021,caries patient plan treatment tooth lesion option
R_0jqREzXCzNcfgCl,t_4,0.7176470588235294,2021-03-01T22:04:43Z,D3,Exam/Tx Plan,One thing that I would like to do differently next time would be to be more knowledgeable about the implant retained overdenture.  This appointment has taught me a lot about it.,NA,2020-2021,time crown impression denture occlusion bite tray
R_0jqS3oXjd2CFab7,t_4,0.9605633802816902,2021-11-16T01:33:06Z,D3,Prosthodontics,"The next time I deliver a PFM crown, I will know not to use a wooden bite stick to seat the crown because it can chip the porcelain. I will also ask the patient to really move their jaw into latero/protrusive movements and apply some effort in their biting force to accurately mark the crown with articulating paper. One issue I found is that the patient's crown was not marking well with the articulating paper, but I think the patient may not have been applying enough occlusal force.",NA,2021-2022,time crown impression denture occlusion bite tray
R_0js8evgU7XEIjaV,t_1,0.911111111111111,2021-05-17T22:23:16Z,D3,Exam/Tx Plan,I would like to improve my caries identification abilities.,NA,2021-2022,caries patient plan treatment tooth lesion option
R_0JSjZUXm0bmXc4x,t_1,0.9384615384615385,2021-11-03T02:04:23Z,D3,Prosthodontics,Plan on restoring the most decayed tooth first for the treatment plan.,NA,2021-2022,caries patient plan treatment tooth lesion option
R_0JwsjiDJYp2kbPb,t_4,0.6197530864197531,2020-10-07T11:37:12Z,D3,Prosthodontics,"This appointment was my first crown prep on a real patient so I was a bit finnicky with my preparation and over-conservative to begin with. For future crown preps I will try to stick to my fundamentals learned in sim-lab and make sure that my reduction is adequate because it is better to slightly over reduce than to under reduce, allowing the lab to fabricate a crown with plenty of thickness and strength.",My final preparation seemed to be over tapered facio-lingually. Is there any concern of retention with using conventional cementation with Fuji-Plus? Would it have been better to use a moderate strength material like E.max that could have been bonded?,2020-2021,time crown impression denture occlusion bite tray
R_0k5PeJbdOTk9tVn,t_1,0.6607594936708862,2021-06-03T17:28:08Z,D3,Restorative,"I would like to improve on screening for sleep apnea in my patients. This is the second time that I have missed it and know that I need to improve. In between trying to make sure that I get everything done with forms, cleaning, CHIPS, catching things on x-rays etc. I miss it. I will need to work on incorporating that into my routine esp. because a lot of patients are very interested in hearing about this topic and how it relates to their systemic health. I appreciate you catching this and mentioning it to t","I wonder if it would be a good idea to add questions about snoring, waking up at night, etc. in our exam forms in MiDent- maybe somewhere around where it asks if there is evidence of wear patterns/attrition. This might be helpful to remind students to screen for OSA.",2021-2022,caries patient plan treatment tooth lesion option
R_0koRgFrM1cUh9n3,t_4,0.8352941176470587,2021-07-28T21:05:43Z,D3,Prosthodontics,"Next time I would like to be more aware of which situations require the use of cast post and core versus prefabricated ones, and when a ferrule is achievable.  
'",NA,2021-2022,time crown impression denture occlusion bite tray
R_0kpfSV4q2GCWNfX,t_1,0.9151515151515152,2021-06-18T11:10:21Z,D3,Restorative,I would like to complete the correct referral form next time. I also will need to work on treatment planning depending on different radio angles. I was treatment planning off of the radiograph that demonstrated a lesser extent of decay vs. more.,NA,2021-2022,caries patient plan treatment tooth lesion option
R_0kqeHh0o2pm95Zv,t_3,0.48235294117647054,2020-11-20T18:51:22Z,D3,Restorative,Look more carefully for soft tissue lesions and be more efficient in the tx planning process.,NA,2020-2021,exam time patient plan complete faculty appointment
R_0kqeHh0o2pm95Zv,t_5,0.48235294117647054,2020-11-20T18:51:22Z,D3,Restorative,Look more carefully for soft tissue lesions and be more efficient in the tx planning process.,NA,2020-2021,contact margin prep composite restoration bur remove
R_0krJ09nQBeHnLhv,t_2,0.9348837209302326,2021-02-06T03:37:29Z,D3,Periodontics,"Next time I treat a patient with significant plaque accumulation along and within the gingival sulcus, I will use both the Cavitron and hand instruments to verify all plaque has been removed. I feel I placed too much faith in the ability of the Cavitron to flush out loose plaque within the sulcus.",Thank you!,2020-2021,time calculus hand instrument molar scale probe
R_0ks9Xqvan394gyB,t_5,0.9272727272727272,2021-03-22T15:50:21Z,D3,Restorative,Finish closer to time :),Thank you for all your help! It was great working with you and I look forward to more sessions with you!,2020-2021,contact margin prep composite restoration bur remove
R_0ktkv8T8DGyFKTf,t_5,0.9619047619047618,2021-02-11T22:18:39Z,D3,Restorative,"Next time, I will be more careful in the interproximal area to not nick the adjacent tooth.",None that I can think of right now. Thanks so much for your help and for sticking around with us today Dr. Geetha! I'll be in contact with you soon about the rest of the case.,2020-2021,contact margin prep composite restoration bur remove
R_0kTUfxpJep8z3cR,t_3,0.7846153846153846,2021-05-26T03:10:06Z,D3,Periodontics,I would like to have an assistant set up for all prophy appts so I can use the piezo/cavitrons more efficiently.,NA,2021-2022,exam time patient plan complete faculty appointment
R_0MMbK8GaO5LUkxj,t_1,0.7754385964912281,2021-07-21T02:25:21Z,D3,Restorative,"During this appointment, I learned the importance of taking into account the patient's wishes for treatment approaches while still being cognizant of any financial limitations. This particular patient was highly interested in implants but was misinformed about the price of multiple implants--he would have needed many. We instead arrived at the option of a flipper and possible removable partial denture later in the future. This option is more cost effective, while still allowing the patient to achieve his es",NA,2021-2022,caries patient plan treatment tooth lesion option
R_0MNC1YIFyn48vV7,t_5,0.7333333333333333,2021-10-26T21:48:20Z,D3,Restorative,I would have ideally caught the void near the incisal before trimming. I wish I could have worked faster and performed more restos in one appointment.,"With the natural enamel on the surface, I wanted to preserve this for esthetics. How thin could this be and still be preserved?",2021-2022,contact margin prep composite restoration bur remove
R_0MndAzyOxZ0aKTn,t_1,0.488,2021-12-09T18:20:38Z,D3,Periodontics,Next time I would like to be more prepared with preparation to see this patient. I think I could have discussed with hospital dentistry prior to gain a more clear idea of the patient and what to expect for treatment.,NA,2021-2022,caries patient plan treatment tooth lesion option
R_0NHTYXpPqPuzGGR,t_3,0.6307692307692307,2021-03-20T17:00:45Z,D3,Exam/Tx Plan,I will make sure to always include mobility as a key item during an intraoral examination.,NA,2020-2021,exam time patient plan complete faculty appointment
R_0oiWkTPm5OW48s9,t_4,0.9466666666666667,2021-09-14T14:12:23Z,D3,Prosthodontics,Make sure to remove any excess cement of the distal portion of crown margin.,NA,2021-2022,time crown impression denture occlusion bite tray
R_0OJKbNbpEJshNaF,t_1,0.5809523809523809,2021-03-04T16:39:33Z,D3,Restorative,I will compare the current radio with the past radio to decide whether restoration is needed.,Do you need to hit the bone for Akinosi technique?,2020-2021,caries patient plan treatment tooth lesion option
R_0P4JbZGwZvjCNhL,t_3,0.674074074074074,2021-05-18T21:02:49Z,D3,Exam/Tx Plan,I think I should take more time when I am doing the intra oral evaluation and comparing it with the findings on the radiographs. I tend to rush and miss some things.,Thank you for your time today Dr Jin!,2021-2022,exam time patient plan complete faculty appointment
R_0pSKKVTL9eflvjj,t_1,0.8079999999999999,2021-09-01T20:53:47Z,D3,Exam/Tx Plan,Improve identification of occlusal issues that can cause abnormal periodontal findings such as deep probing depths and widening of PDL radiographically.,Thank you for working with me!,2021-2022,caries patient plan treatment tooth lesion option
