topic,item,label,ldavis_number,text,response_dt
t_3,2923,plan treatment faculty treatment_plan time finding note check,4,Be more efficient with having forms up and for faculty swiping and understanding the flow of MiDent,2021-05-07T14:08:08Z
t_3,2224,plan treatment faculty treatment_plan time finding note check,4,"I would like to improve my flow in the clinic by standardizing my EOE, IOE, and perio charting order and procedure.",2021-05-07T14:19:55Z
t_10,780,hand time instrument work scale position improve patient,2,Personally would like to set things up quicker before hand,2021-05-07T17:04:35Z
t_12,2738,caries tooth time lesion confident remove identify stain,14,Be more efficient with the radiographs,2021-05-07T17:53:13Z
t_5,2964,calculus area remove molar time tooth check miss,12,"I would like to get more comfortable instrumenting the lingual surface of the mandibular anteriors and make sure to check my work with the explorer, more thoroughly, before calling the faculty over.",2021-05-07T18:35:12Z
t_3,2944,plan treatment faculty treatment_plan time finding note check,4,I need to be more thorough in my examinations,2021-05-07T19:39:24Z
t_3,3876,plan treatment faculty treatment_plan time finding note check,4,I'd like to print out a treatment planning worksheet to keep track of the findings next time.,2021-05-07T20:04:27Z
t_3,414,plan treatment faculty treatment_plan time finding note check,4,Get faster at adding forms and getting them swiped,2021-05-07T20:21:06Z
t_3,3133,plan treatment faculty treatment_plan time finding note check,4,I would like to be more efficient with my time and entering information into MiDent. I felt like I wasted some time trying to figure out whats next and I would like to get faster at managing my downtime in clinic.,2021-05-07T21:34:58Z
t_11,3792,time work appointment efficient exam fast clean speed,1,Be more efficient w exam so I can do any restorative work during the same appointment.,2021-05-07T22:25:50Z
t_6,2250,patient thing time differently thing_differently appointment differently_time oral,17,"I would like to keep my cubicle organized better next time. It was my first patient ever and I feel as though the cubicle got unorganized switching from one procedure to another. Things can get lost when there is disorganization so for that, I would like to work on that.",2021-05-07T22:26:11Z
t_11,2067,time work appointment efficient exam fast clean speed,1,I would like to be able to go through my procedure more efficiently next time and be able to do more.,2021-05-08T00:19:20Z
t_11,885,time work appointment efficient exam fast clean speed,1,"As a D3 first time having patient on East maize clinic, I was fortunate to have Dr. Britt on my first day in the clinic. Next time, I would definitely improve myself more on the computer system usage.",2021-05-08T15:17:24Z
t_11,1591,time work appointment efficient exam fast clean speed,1,"I was so fortunate to have Dr. Czarnecki on my first day in the clinic as a D3. 
Next time, I would improve myself on the computer usage system.",2021-05-08T15:25:43Z
t_3,2759,plan treatment faculty treatment_plan time finding note check,4,"I am still struggling with diagnosing caries and treatment planning. Since this was my very first time, I'm sure this will get better with more practice.",2021-05-09T11:47:58Z
t_10,2242,hand time instrument work scale position improve patient,2,I would have liked to start with hand scaling just to get a feel for the wrist rocking motion prior to used the powered hand scaler.,2021-05-10T02:20:25Z
t_10,416,hand time instrument work scale position improve patient,2,I would have liked to start with hand scaling just to get a feel for the wrist rocking motion prior to used the powered hand scaler.,2021-05-10T02:33:27Z
t_3,2602,plan treatment faculty treatment_plan time finding note check,4,I would like to be more familiar with axium.,2021-05-10T13:58:43Z
t_3,1754,plan treatment faculty treatment_plan time finding note check,4,"Next time, I would like to be more concise with my presentation of the patient to the faculty member. I need to have a set, concise format in which I present the patient information each time.",2021-05-10T14:01:20Z
t_3,2627,plan treatment faculty treatment_plan time finding note check,4,"To not refer to everything as ""new"" in front of the patient and work a little faster with doing the computer work. Even though this was my first patient and first time entering treatment into MiDent, I need to make sure to keep the trust of my patient by being confident in what I know and work diligently to make good use of my time.",2021-05-10T14:30:39Z
t_11,1371,time work appointment efficient exam fast clean speed,1,Increase my speed.,2021-05-10T14:35:44Z
t_11,1113,time work appointment efficient exam fast clean speed,1,"Next time, I would have liked to have been more thorough with my intraoral exam. Such as checking crown margins and more ideal perio probing. I appreciated the way Dr. Karpenko divided the exam into categories e.g. restorative, perio, as I think doing it that way will assure I do not miss anything if I keep the same systematic approach every time.",2021-05-10T15:57:51Z
t_3,1243,plan treatment faculty treatment_plan time finding note check,4,"Being more efficient with Axium when the faculty comes over to swipe
",2021-05-10T16:30:42Z
t_3,3755,plan treatment faculty treatment_plan time finding note check,4,I want to make sure that I write down all of the findings that the faculty reports to me on the paper on the desk so that I am able to get anything that I didn't have into the computer and avoid confusion.,2021-05-10T16:46:03Z
t_11,1389,time work appointment efficient exam fast clean speed,1,I wish I had already done my perio bootcamp because we had time to do a cleaning but I wasn't able to do it because I haven't done perio bootcamp.,2021-05-10T16:56:06Z
t_11,766,time work appointment efficient exam fast clean speed,1,It was my first time doing an exam so it wasn't as efficient as I would have liked. I hope to be more efficient with the steps next time.,2021-05-10T16:58:01Z
t_12,1972,caries tooth time lesion confident remove identify stain,14,"I would like to improve on my ability to tell the difference between composite and natural tooth surface. In my next appointments, I'll try to pay extra attention to which teeth have composite restorations according to the odontogram, and to compare those surfaces to the patient's natural teeth.",2021-05-10T17:01:20Z
t_10,2785,hand time instrument work scale position improve patient,2,"Next time, I'd like to focus more on any concerns that the patient brings up. Today, my patient mentioned that she had been feeling sore in an area of her mouth close to a bridge that she had, but that she hadn't felt the soreness for the past couple weeks. I was so focused thinking about the sequence of the entire head and neck exam that I didn't take as much time to really examine that part of her mouth and to check on what might be causing the soreness.",2021-05-10T17:03:35Z
t_3,193,plan treatment faculty treatment_plan time finding note check,4,I would like to make sure all my forms are ready to be swiped when checking out to be more efficient.,2021-05-10T17:26:09Z
t_12,749,caries tooth time lesion confident remove identify stain,14,Be a little quicker in my examination,2021-05-10T17:29:07Z
t_11,1151,time work appointment efficient exam fast clean speed,1,Work on my speed,2021-05-10T19:18:47Z
t_5,920,calculus area remove molar time tooth check miss,12,I could have done better with the perio probing on the lingual of the lower 3rd molars but I was struggling to see because of the patients tongue.,2021-05-10T19:47:27Z
t_8,1918,time impression crown make material bite prep patient,11,When a patient has attrition I need to remember to ask them if they have a bite guard or are interested in one,2021-05-10T19:50:35Z
t_11,1295,time work appointment efficient exam fast clean speed,1,I would like to work more efficiently next time. The perio exam took longer than expected due to severe perio instability so I need to be sure that I perform the exam steps in a specific order to ensure I make the most out of my clinic time.,2021-05-10T20:00:02Z
t_3,2366,plan treatment faculty treatment_plan time finding note check,4,I would like to have had a better outline planned out in terms of what order to go through all the different forms.,2021-05-10T20:17:32Z
t_10,3312,hand time instrument work scale position improve patient,2,Correct my posture!,2021-05-10T20:24:02Z
t_3,1610,plan treatment faculty treatment_plan time finding note check,4,I will be sure to have my treatment not prepped by the time the faculty arrives and be sure to study over the technical aspects of the axium software.,2021-05-10T20:25:08Z
t_1,1321,patient time appointment today start history faculty exam,3,I would like to have reviewed the patient's chart prior to the couple of minutes before the appointment,2021-05-10T20:28:35Z
t_3,2828,plan treatment faculty treatment_plan time finding note check,4,Next time I would like to double check what I have planned as observes from previous providers before I have the faculty swipe. There were areas I should have changed or removed from the plan.,2021-05-10T20:28:35Z
t_9,2172,perio probe patient chart perio_chart periodontal area time,8,I would like to get better at perio probing. It was difficult to determine the best angel to see things.,2021-05-10T20:29:04Z
t_3,703,plan treatment faculty treatment_plan time finding note check,4,Fill out the exam findings and caries risk assessment forms before the faculty comes over for check out.,2021-05-10T20:31:11Z
t_11,2920,time work appointment efficient exam fast clean speed,1,Managed my time better!,2021-05-10T20:35:07Z
t_3,409,plan treatment faculty treatment_plan time finding note check,4,"Next time, I would like to be more efficient with my computer work (tx note, planning, etc).",2021-05-10T20:35:44Z
t_10,1815,hand time instrument work scale position improve patient,2,Nothing would love to work with her again,2021-05-10T20:41:21Z
t_12,727,caries tooth time lesion confident remove identify stain,14,Improve clinical workflow and become more comfortable with Axium software. Also improve pan radiograph taking - blurred focal trough and lead apron artifact present.,2021-05-10T20:46:59Z
t_1,3089,patient time appointment today start history faculty exam,3,Be more efficient and go through the health history faster.,2021-05-10T21:07:20Z
t_11,1260,time work appointment efficient exam fast clean speed,1,I wish I knew how to work axium much better.,2021-05-10T21:09:43Z
t_9,307,perio probe patient chart perio_chart periodontal area time,8,"Next time I would like to be more thorough in evaluating what I see radiographically compared to what I see clinically, and vice versa.",2021-05-10T21:38:38Z
t_3,1581,plan treatment faculty treatment_plan time finding note check,4,Be more prepared,2021-05-10T21:39:26Z
t_3,1577,plan treatment faculty treatment_plan time finding note check,4,Learn to operate MiDent more effectively,2021-05-10T21:42:15Z
t_11,2663,time work appointment efficient exam fast clean speed,1,I would like to be able to squeeze in a prophy with my new patient exams when possible.,2021-05-10T21:49:28Z
t_11,728,time work appointment efficient exam fast clean speed,1,I would like to be better at polishing and more efficient when working around the moth during a prophy.,2021-05-10T21:52:34Z
t_3,3336,plan treatment faculty treatment_plan time finding note check,4,I would like to have all treatments planned before faculty get to my cube to be more efficient.,2021-05-10T21:54:35Z
t_3,1022,plan treatment faculty treatment_plan time finding note check,4,I would like to come with steps written out of everything I need to do/ things I need to input in the computer so I can stay on track,2021-05-10T22:12:46Z
t_3,2119,plan treatment faculty treatment_plan time finding note check,4,Next time I will remember to complete the general tx note prior to the instructor check to be more efficient.,2021-05-10T22:21:00Z
t_3,3883,plan treatment faculty treatment_plan time finding note check,4,I will try to have the treatment note completed prior to the end check!,2021-05-10T22:22:42Z
t_7,1618,dr learn today patient appointment great experience work,10,"I would like to be more independent and exchange these without as much help. I had never done this or seen it done, so it was nice to get extra help. I look forward to being more prepared to make these little repairs to overdentures more easily in the future.",2021-05-10T22:32:34Z
t_3,966,plan treatment faculty treatment_plan time finding note check,4,Do mident stuff faster.,2021-05-10T23:05:58Z
t_1,3177,patient time appointment today start history faculty exam,3,Take BWs before looking for dental findings,2021-05-11T00:01:40Z
t_2,3392,patient tooth treatment option crown discuss pt time,5,I think the patient encounter was still successful as I learned how to write a medical consult and what steps are involved in referring a patient. I also had a good chance to interview the patient and introduce myself to him.,2021-05-11T00:35:38Z
t_11,2952,time work appointment efficient exam fast clean speed,1,"I would like to work more efficiently in order to complete the new patient exam in the time allotted, especially when a patient does not show up on time.",2021-05-11T01:18:36Z
t_7,739,dr learn today patient appointment great experience work,10,"My first patient experience was quite positive and I wouldnt change much, except for a mental note to myself to have individual treatment plans for the problem list I present to the faculty. Dr. Hamerink helped with making this experience a good one for me.",2021-05-11T01:18:59Z
t_10,908,hand time instrument work scale position improve patient,2,I would like to focus on differentiating between being too thorough and being efficient without compromising the quality of my examinations or the treatments performed.,2021-05-11T01:20:29Z
t_3,2427,plan treatment faculty treatment_plan time finding note check,4,Time things better so that my notes are done and Im fully prepared for faculty checks,2021-05-11T01:33:36Z
t_1,3772,patient time appointment today start history faculty exam,3,"I would next time like to frame questions in a better way. When asking the patient ""did you take all of your medications today"" he said yes. Later on in the appointment, when I went through the 3 patients the patient had, he said he forgot to take insulin. Now, especially if the patient has a small medication list, I should go through each one - at least the daily ones.",2021-05-11T01:53:23Z
t_2,3484,patient tooth treatment option crown discuss pt time,5,"We treatment planned a crown for tooth #14 due to severe acid erosion. The tooth currently has a restoration in it. Next appointment, should I remove the restoration and build a new core/redo the restoration before prepping the tooth for the crown?",2021-05-11T02:51:18Z
t_7,1713,dr learn today patient appointment great experience work,10,"Was a pleasure to work with, no changes needed",2021-05-11T03:56:47Z
t_2,3631,patient tooth treatment option crown discuss pt time,5,I would have liked to have better numbed the patient,2021-05-11T12:41:34Z
t_11,1167,time work appointment efficient exam fast clean speed,1,be quicker in restoring,2021-05-11T14:01:07Z
t_12,217,caries tooth time lesion confident remove identify stain,14,"Next time I would like to discuss with the faculty about the prep design beforehand. I was not entirely sure the extent of caries I would find until I began prepping the tooth, but thinking about it now I probably could have made the class II preparation more of a simple slot prep.",2021-05-11T14:21:56Z
t_1,3244,patient time appointment today start history faculty exam,3,I would like to make sure I have the appointment in the planners treatment section ahead of time,2021-05-11T14:23:56Z
t_3,913,plan treatment faculty treatment_plan time finding note check,4,I will try to be more methodical with my exam findings.,2021-05-11T14:42:54Z
t_3,1700,plan treatment faculty treatment_plan time finding note check,4,Remembering where to click for each swipe needed.,2021-05-11T15:02:35Z
t_7,3404,dr learn today patient appointment great experience work,10,"Something I would differently is to be even more gentle when I period probe and do a bouncing technique that Dr. Richards showed us. This will allow me to be more careful with the patient for their comfort and to protect the gingiva. This rotation was extremely helpful to my learning, thank you!",2021-05-11T16:14:24Z
t_10,2730,hand time instrument work scale position improve patient,2,"In the future, I would like to spend more time working with the hand instruments.",2021-05-11T16:18:03Z
t_3,1802,plan treatment faculty treatment_plan time finding note check,4,I would like to improve my note writing abilities to improve the clarity and shorten them.,2021-05-11T16:32:13Z
t_11,1021,time work appointment efficient exam fast clean speed,1,I am hoping to finish exam quicker so I can possibly do restorative work the same day.,2021-05-11T16:53:04Z
t_2,963,patient tooth treatment option crown discuss pt time,5,I need to be able to position myself better for a more effective periodontal probing and visualization. I also need to be able to explain more to the patient about the procedures and what I am doing.,2021-05-11T17:09:52Z
t_8,3246,time impression crown make material bite prep patient,11,"When examining the patient's mouth, I worked from canine-to-canine then looked at the premolars and molars, and in the future i want to work from 1 to 32 numerically so I minimize the chance of missing any findings.",2021-05-11T17:15:05Z
t_3,3802,plan treatment faculty treatment_plan time finding note check,4,I would like to be more efficient with my entering planned treatment into MiDent.,2021-05-11T17:38:07Z
t_2,1304,patient tooth treatment option crown discuss pt time,5,I would have liked to speak to prosth faculty beforehand and had a better idea of how to proceed with the case,2021-05-11T18:08:20Z
t_10,1907,hand time instrument work scale position improve patient,2,Learn how to use all hand instruments to clean all surfaces as efficiently as possible.,2021-05-11T19:47:51Z
t_1,1578,patient time appointment today start history faculty exam,3,Next time i would like to bring a pen with me,2021-05-11T20:03:17Z
t_7,3559,dr learn today patient appointment great experience work,10,"I had not considered the protrusive action in terms of restoring this tooth that was of much importance for the stability of the restoration. If I had gone through the lectures in restorative classes before this appointment, I may have thought of it before Dr. Jin brought it to my attention.",2021-05-11T20:07:34Z
t_1,2042,patient time appointment today start history faculty exam,3,Make sure I am getting a thorough health history.,2021-05-11T20:12:14Z
t_9,159,perio probe patient chart perio_chart periodontal area time,8,"I need to be more thorough with my intra-oral exam (ie check probing depths, percussion, palpation)",2021-05-11T20:38:05Z
t_3,2689,plan treatment faculty treatment_plan time finding note check,4,Having a better understanding of prior authorization forms for Medicaid patients,2021-05-11T21:01:08Z
t_5,480,calculus area remove molar time tooth check miss,12,I would like to identify areas that still have calculus/plaque after I finish hand scaling better.,2021-05-11T21:01:20Z
t_11,3251,time work appointment efficient exam fast clean speed,1,"Maybe be more time efficient as taking Xrays took a little longer than anticipated. I think the patient needs extensive restorative work which made the exam take long. However, I think the appointment went well.",2021-05-11T21:02:47Z
t_11,2585,time work appointment efficient exam fast clean speed,1,"I dont think that anything needed to be different in this appointment. It was quick, efficient, and thorough.",2021-05-11T21:06:07Z
t_11,3171,time work appointment efficient exam fast clean speed,1,"I would really like to work on my time management. This was my first time having to update radiographs and perio chart during an exam so my timing and flow from one step to the next was not as efficient as it could be. I need to work on timing my faculty requests better, as well. I learned a lot from today that I will keep in mind for my future appointments.",2021-05-11T21:06:32Z
t_7,812,dr learn today patient appointment great experience work,10,"During my next appointment I would like to be more prepared with the MiDent software for the checkout of the appointment. It is a learning process, but hopefully I will be more comfortable using MiDent for future appointments.",2021-05-11T21:07:12Z
t_3,476,plan treatment faculty treatment_plan time finding note check,4,I forgot to do a caries assessment form during the appointment. Next time I do an exam I will do so.,2021-05-11T21:08:09Z
t_3,3701,plan treatment faculty treatment_plan time finding note check,4,I would like to be faster in my cleaning and more organized while doing the treatment note.,2021-05-11T21:09:33Z
t_3,2169,plan treatment faculty treatment_plan time finding note check,4,"I forgot to include the caries risk assessment form in my exam and treatment planning for my patient today, so I will definitely not forget that next time!",2021-05-11T21:14:42Z
t_3,2899,plan treatment faculty treatment_plan time finding note check,4,"I would like to improve my clinical workflow and become more efficient with Axium software. Additionally, I will continue to work on explaining dental treatment to patients in a manner that they can best understand.",2021-05-11T21:20:16Z
t_1,3184,patient time appointment today start history faculty exam,3,"I would like to be quicker with my charting so I have more time for my clinical exam and patient discussion about my findings and treatment plan. The patient had a few questions about restorative options once she receives the extraction of #30 and I felt a little rushed describing those options to her. Other than that, I was really happy with how today's appointment went.",2021-05-11T21:31:32Z
t_1,906,patient time appointment today start history faculty exam,3,"I really appreciated Dr. Czarnecki's effort today as there were many students requesting him, but since there were only 2 restorative faculty and majority of the appointments today were restorative there was a long wait for many people.",2021-05-11T22:06:21Z
t_3,1512,plan treatment faculty treatment_plan time finding note check,4,Make a more specific CHIPs note,2021-05-11T22:08:30Z
t_12,3533,caries tooth time lesion confident remove identify stain,14,I would like to be better at diagnosing caries via clinical and radiographhic exams.,2021-05-11T22:12:08Z
t_11,1252,time work appointment efficient exam fast clean speed,1,I would work on my time management skills :/.,2021-05-11T22:23:10Z
t_11,1339,time work appointment efficient exam fast clean speed,1,I would work much faster next time.,2021-05-11T22:25:55Z
t_7,3066,dr learn today patient appointment great experience work,10,Dr. Wang explained to me the importance of really making sure that patients with furcation involved teeth are clean. I should have used the cavitron in the furcation and root surfaces of #19.,2021-05-11T22:36:27Z
t_10,3199,hand time instrument work scale position improve patient,2,Work on correct positioning when using the curettes/sickle scalers,2021-05-11T23:30:16Z
t_10,3620,hand time instrument work scale position improve patient,2,Rely less heavily on upperclassmen and assistants,2021-05-11T23:36:23Z
t_11,1636,time work appointment efficient exam fast clean speed,1,Do an updated exam and prophy simultaneously,2021-05-11T23:40:12Z
t_10,2848,hand time instrument work scale position improve patient,2,I would like to feel more confident while seeing patients. I felt that it was difficult to see and get in the right positions for perio probing and exam findings.,2021-05-12T00:17:27Z
t_3,2649,plan treatment faculty treatment_plan time finding note check,4,"I would like to be more familiar and comfortable with the computer system. I would also like to able to detect caries in places I did not think to look, such as under the margin of a crown.",2021-05-12T00:20:33Z
t_10,989,hand time instrument work scale position improve patient,2,Learn patient positioning better to be more efficient and comfortable when doing perio on a patient.,2021-05-12T00:23:52Z
t_10,3862,hand time instrument work scale position improve patient,2,I need to improve my chair positioning during a cleaning so that I can work more efficiently,2021-05-12T00:25:27Z
t_8,3716,time impression crown make material bite prep patient,11,"I think since this was my first appointment ever with a real patient there are a lot of things I would like to do different. Mostly, gaining more confidence and being more comfortable with the materials. It was hard for me to gauge how fast to be doing something at this point, so I know I took longer to remove the amalgam and to re-prep features that probably should not take that long. I also wasn't super comfortable with working with the different materials to do a SCC temporary, so I want to review these",2021-05-12T00:26:43Z
t_3,1729,plan treatment faculty treatment_plan time finding note check,4,Get better with the computer!,2021-05-12T00:38:03Z
t_10,2123,hand time instrument work scale position improve patient,2,"I would like to use my time more wisely. Now that I have a better understanding of what constitutes a CHIPS assessment and a better feel for using electric and hand instruments to scale, I would like to focus on becoming more efficient while still being thorough.",2021-05-12T00:59:10Z
t_3,886,plan treatment faculty treatment_plan time finding note check,4,"Next time, I would be more organized in presenting a patient with complex systemic health needs to the faculty member.",2021-05-12T01:38:01Z
t_3,895,plan treatment faculty treatment_plan time finding note check,4,I would better prepare the planned and completed treatments for the faculty member at the end of the appointment to increase efficiency.,2021-05-12T01:39:44Z
t_1,3642,patient time appointment today start history faculty exam,3,Next time I would have the pt take their premed so we could complete the new patient exam,2021-05-12T01:56:01Z
t_1,1712,patient time appointment today start history faculty exam,3,I would be more on top of faculty requests to maximize my use of the time I have the patient in the chair and minimize any waiting.,2021-05-12T01:58:33Z
t_6,2510,patient thing time differently thing_differently appointment differently_time oral,17,"Next time, I would like to give the patient more time to speak. I found myself not giving the patient enough time to answer my questions, resulting in me cutting them off sometimes.",2021-05-12T02:14:03Z
t_10,3161,hand time instrument work scale position improve patient,2,I would like to try the piezoelectric hand piece when doing my next prophy.,2021-05-12T02:20:42Z
t_8,3818,time impression crown make material bite prep patient,11,I think I would have tried to be more efficient and accurate in my periocharting. had some difficulty at first due to calculus but the d4 assisting helped!!!,2021-05-12T02:23:16Z
t_1,2108,patient time appointment today start history faculty exam,3,I would like to go quicker. I was thorough with the health history and medications but in reality I think I could have been much speedier. additionally my slowness with axium didnt help!,2021-05-12T02:24:59Z
t_10,3577,hand time instrument work scale position improve patient,2,Next time I would like to remember the chair positions better and be able to more quickly differentiate the hand instruments and which side to use.,2021-05-12T03:04:38Z
t_3,1676,plan treatment faculty treatment_plan time finding note check,4,I would like to have everything ready (notes) for the faculty swipe right away next time in order to be more efficient and to make better use of the faculty's time.,2021-05-12T13:29:44Z
t_12,1407,caries tooth time lesion confident remove identify stain,14,I did not identify two active lesions in the mouth so I want to improve my caries assessment skills.,2021-05-12T13:57:05Z
t_11,3443,time work appointment efficient exam fast clean speed,1,"I think that I could have done the extraoral and intraoral exam more quickly. I just felt a little nervous and wanted to be thorough, but I think I took too long and couldve saved time/been more efficient.",2021-05-12T14:26:39Z
t_2,3481,patient tooth treatment option crown discuss pt time,5,I would try to explain to the patient on what we would do next in layman terms.,2021-05-12T14:34:07Z
t_3,1948,plan treatment faculty treatment_plan time finding note check,4,I will ensure all paperwork/treatment notes are done before calling faculty over to get swiped out.,2021-05-12T14:48:19Z
