response_date	response_id	response_value	student_year	question	proc
2021-03-24 00:41:22	R_23W5SyJmH4MxlBJ	You were so awesome today Dr. Anderson! Thank you so much for your help and guidance! I learned so much about the process of border molding and final impressions. What time are you normally going to be in clinic? I would love to work with you again in the future. 	D3	question	Prosthodontics
2021-01-07 19:07:05	R_1fjb98obYqkb9vz	One thing I would like to do for next time is just to double check and make sure all the forms are filled out before final check out. Thank you for your help today Dr. V!	D3	improvement	Exam/Tx Plan
2021-04-02 17:53:22	R_1H16JqYa9nELHnp	think about longevity, for the idea of the core buildup, that tooth had failed in the past year for the rpd, thus a crown on top is better 	D3	improvement	Exam/Tx Plan
2021-04-14 22:27:43	R_1l4PR8iq6pyfuKY	try to be more organized in big treatment planning cases.	D3	improvement	Exam/Tx Plan
2021-01-30 01:40:58	R_1QsVjqeDD7DREEP	get better at determining creep vs defective amalgam	D3	improvement	Restorative
2021-04-01 20:23:49	R_1Qt0MzCQ1EIu6fL	leave amalgam alone if its not fractured or no decay!	D3	improvement	Restorative
2021-03-19 20:33:26	R_217fwhtHvs90ZbZ	"feel margins better with use of explorer before I think i am ""done""."	D3	improvement	Restorative
2021-02-03 23:25:33	R_23TZqqJtuC9dL76	One thing I would like to do differently for next time, is to recognize better the population that cervical caries occurs in and distinguish more between burnout vs caries on radiographs	D3	improvement	Exam/Tx Plan
2021-01-28 20:56:54	R_0uCFZzlyVjuilc5	Use suction in between tongue before PVS impression	D4	improvement	Restorative
2021-02-12 17:02:52	R_1LClneLLNq2tIoN	Na	D4	improvement	Exam/Tx Plan
2021-01-26 19:07:58	R_1LexNPHA7HQEjOJ	Have pt rinse after removing excess cement	D4	improvement	Restorative
2021-02-10 21:19:36	R_1mrunz9aqt5ZMpO	bite on composite, isolation with svedopter	D4	improvement	Restorative
2021-02-05 17:52:37	R_1N8n7v6608KZwGf	super slow speed handpiece	D4	improvement	Restorative
2021-03-11 21:22:14	R_1dAAYmOZNcz9cjM	"Next time I would like to do a better job of putting terms into language the patient can better understand. When you were there and I was explaining why the patient may need a gingivectomy in order for the tooth to be restorable I used terms like ""biologic width"" and that probably isn't the best way to convey that message to the patient. I'll follow up with her and make sure we're on the same page. Overall though I think the appointment went well and I thank you for all of your help keeping me organized wit"	D3	improvement	Exam/Tx Plan
2021-01-20 19:35:24	R_1rJOownDQ2ZZGHT	Next time I will use your technique of checking occlusion with shimstock prior to restoring a prepped tooth, this was a great tip. Thanks for all the advice you gave throughout the appointment regarding xerostomia, cavity preps, and GI liner, I really appreciated it. 	D3	improvement	Restorative
2021-03-24 21:04:09	R_1fa2LYi2MAveaNJ	I would like to follow the guidelines for requesting faculty, I am sorry for my misunderstanding it won't happen again 	D3	improvement	Periodontics
2021-04-16 20:06:16	R_1gh941nAGGfc5vU	Better time management with the consults. Should have started with restorative, it would have save me about 30 minutes	D3	improvement	Prosthodontics
2021-02-25 23:43:21	R_1LLOhDnFBw026ZR	none	D3	improvement	Exam/Tx Plan
2021-02-02 15:34:30	R_1M5ndl7U3X29YEB	thank you so much for your help, i should focus on the finishing and occlusion next time 	D3	improvement	Restorative
2021-02-05 15:37:54	R_1N47ULPD5eKPuAq	i would like to adjust the occlusion better and be faster 	D3	improvement	Restorative
2021-03-17 14:03:31	R_1rHzfu9EVTZUkr2	thank you so much for the help for the TX planning test case 	D3	improvement	Exam/Tx Plan
2021-03-22 14:20:24	R_21nQTCb5CcwNgBu	I would like to be faster in treatment planning 	D3	improvement	Prosthodontics
2021-03-22 14:20:24	R_21nQTCb5CcwNgBu	Thank you for your help 	D3	question	Prosthodontics
2021-02-12 00:16:59	R_22shCmT0OGyuPwX	i would like to learn more about instrument and how how i adapted to the tooth surface 	D3	improvement	Periodontics
2021-02-12 00:16:59	R_22shCmT0OGyuPwX	thank you for your help 	D3	question	Periodontics
2021-01-18 20:59:48	R_1cU1zBkU3RpUYjN	The appointment went well so I would like to maintain or improve my efficiency.	D4	improvement	Prosthodontics
2021-03-07 14:38:34	R_1DChjlBwWltXXv6	I would like to evaluate the range of mandibular movements beforehand so that while delivering crown and evaluating the occlusion, I can check for interferences more precisely.	D4	improvement	Prosthodontics
2021-03-11 14:28:38	R_1doTf0bQaf8gcCm	Be more efficient with the border molding	D4	improvement	Prosthodontics
2021-02-14 17:05:03	R_1mOEJgfoi6K5HM8	The appointment went well however I can always work on my efficiency.	D4	improvement	Exam/Tx Plan
2021-04-15 15:21:46	R_1prg4mizf51J3i7	I would like to get more efficient 	D4	improvement	Periodontics
2021-02-03 15:32:24	R_22M72yik5UJNyt8	The appointment went well so I can work to improve my efficiency	D4	improvement	Exam/Tx Plan
2021-02-20 17:20:41	R_12D1QoQN9ILs9Mi	I liked everything you taught me today thank you 	D3	improvement	Restorative
2021-01-21 18:05:08	R_1CfnCMXuuUzhO8d	Get better at getting the sponge out	D3	improvement	Restorative
2021-01-21 18:05:08	R_1CfnCMXuuUzhO8d	Thank you for helping and teaching me!	D3	question	Restorative
2021-04-06 20:11:25	R_1H6OR2APOTZ2AaK	Thanks for your help Dr. Beard!	D3	improvement	Prosthodontics
2021-02-03 18:08:54	R_1hX7G0CuAwgWppO	Be better at knowing the staging and grading for a patient 	D3	improvement	Periodontics
2021-02-03 18:08:54	R_1hX7G0CuAwgWppO	Thank you for helping me!	D3	question	Periodontics
2021-03-30 20:51:27	R_1mkMwqvoSc71K7D	Adjust amalgam better	D3	improvement	Restorative
2021-03-30 20:51:27	R_1mkMwqvoSc71K7D	Thank you for helping me 	D3	question	Restorative
2021-02-03 16:23:43	R_1NqVoK7nM6aMcMZ	Detect caries better	D3	improvement	Periodontics
2021-02-03 16:23:43	R_1NqVoK7nM6aMcMZ	Thank you for hleping me!	D3	question	Periodontics
2021-01-22 18:09:16	R_1nVJBuuCJ92i2sX	Better at saying when a crown is needed. 	D3	improvement	Periodontics
2021-01-22 18:09:16	R_1nVJBuuCJ92i2sX	Thank you for helping me.	D3	question	Periodontics
2021-02-19 22:37:20	R_1okjc2zzGd6VO6b	I would like to remember to relieve the Toffymer to get a better contact on the restoration 	D3	improvement	Restorative
2021-02-19 22:37:20	R_1okjc2zzGd6VO6b	Thank you for helping me!	D3	question	Restorative
2021-04-12 15:11:15	R_1pDWNxyKpNJ6ZP4	Get better at dropping a box	D3	improvement	Restorative
2021-01-25 17:56:10	R_1QiopC0wZZxZfZH	I think everything went well this appointment 	D3	improvement	Exam/Tx Plan
2021-01-25 17:56:10	R_1QiopC0wZZxZfZH	Thank you for your help!	D3	question	Exam/Tx Plan
2021-02-11 15:26:42	R_1Quvy5EP2ONpZiF	Use the blade to clean the cerival 	D3	improvement	Restorative
2021-02-11 15:26:42	R_1Quvy5EP2ONpZiF	Thank you helping me!	D3	question	Restorative
2021-02-17 14:49:54	R_26b5nIv3u2TjLP5	I would like to get better at isolation 	D3	improvement	Restorative
2021-02-17 14:49:54	R_26b5nIv3u2TjLP5	Thank you for helping me!	D3	question	Restorative
2021-01-22 00:41:21	R_12AaHznWIqNmgF2	Time management	D4	improvement	Prosthodontics
2021-01-22 00:40:05	R_1EQPI5NfmjwVOs9	Check occlusion and correct it until patient feels comfortable. Use the rubber polishing cup to polish	D4	improvement	Restorative
2021-03-04 15:05:12	R_1hSHwYGOcHlQDfJ	Next time I would like to be able to offer the patient additional options apart from extraction. I understood the necessity of a CBCT but was unable to recall potential treatment options that saved the teeth.	D3	improvement	Periodontics
2021-01-12 22:59:30	R_1llTzITm12BcUBi	The patient presented with multiple periodontic and prosthodontic needs. I understood she needed teeth replaced but I wish I had noticed the needs based on the x-rays. When I initially did some background research on her chart, I noticed multiple carious lesions but missed the fact that she was going to need a periodontic consult.	D3	improvement	Restorative
2021-01-12 22:59:30	R_1llTzITm12BcUBi	At what point do you advocate for two complete dentures when the patient is only going to save 4-5 teeth?	D3	question	Restorative
2021-01-12 23:03:23	R_22MrkRxUSTinPWO	I wish I had finished the prep. Next time I want to move a little quicker during the preparation and feel more confident about removing tooth structure. I think I could have completed the procedure if I reduced more to begin with. This was only the second crown preparation I have done so I was still quite nervous.	D3	improvement	Restorative
2021-01-25 16:14:41	R_1IarIAxgylfdoZt	Next time I would like to be more sure of my IAN block - at this appt I had some difficulty getting the patient numb and had to redo the IAN block, and even after the second injection it still took quite a while before the anesthesia kicked in which resulted in lost time during the appt and discomfort for the patient.	D3	improvement	Restorative
2021-02-04 02:52:39	R_1lxHNyZTkhaexkG	Next time, I would like to not have wasted time due to a fire alarm going off. Also, it would have been nice to have had an assistant, however thank you Dr. Leach for giving me a hand when I needed it!	D3	improvement	Restorative
2021-01-18 00:23:13	R_211frYaSdAb7bSP	In addition to being more efficient and confident with caries removal when doing large cavity preps, I would like to be more confident in determining when to use indirect pulp capping vs when it is not necessary. I have been exposed to a variety of opinions on the subject from various faculty and am still developing my own personal discretion on indirect pulp capping protocols.	D3	improvement	Restorative
2021-02-02 15:12:37	R_1GHsE5h3lBXcj8U	none	D4	improvement	Restorative
2021-02-02 15:12:37	R_1GHsE5h3lBXcj8U	Thank you	D4	question	Restorative
2021-03-18 19:45:30	R_1KeH3z2z1MEtmQs	none	D4	improvement	Exam/Tx Plan
2021-03-18 19:45:30	R_1KeH3z2z1MEtmQs	thank you	D4	question	Exam/Tx Plan
2021-02-04 23:46:34	R_1LzD1ybKXnCli1p	none	D4	improvement	Prosthodontics
2021-02-04 23:46:34	R_1LzD1ybKXnCli1p	Thank you	D4	question	Prosthodontics
2021-03-03 15:43:26	R_1mQWtu22pzMKgO8	none	D4	improvement	Restorative
2021-03-03 15:43:26	R_1mQWtu22pzMKgO8	thank you	D4	question	Restorative
2021-03-02 17:18:36	R_10BFfdkCW24TV8U	Next time I would like to have a better understanding of when to totally replace a faulty restoration vs just replacing it. I made conservative slot preps into existing composites today, but under what circumstances would it have been more appropriate to remove the entire composite? Balancing tooth structure conservation and ensuring all potential decay is removed is relatively tricky.	D4	improvement	Restorative
2021-01-07 22:54:54	R_1Do6MCn0kCTePrF	Next time I would like to have a better idea of what we are looking for at the wax try in appointment in terms of occlusion.	D4	improvement	Prosthodontics
2021-03-12 14:36:43	R_1DVjxxa97Sa11PV	Know when it is appropriate to perform enameloplasty vs. continuing to adjust the denture.	D4	improvement	Prosthodontics
2021-02-05 20:39:33	R_1GVMKHWTj77lyzC	Next time I would like to have better control of the heme because it even made it difficult to pack the cord due to lack of visibility.	D4	improvement	Prosthodontics
2021-01-29 14:11:48	R_1pyTnXQbDTpihHN	Next time I would like to perform enameloplasty on hypererupted canines sooner in the process because their appearance was throwing everything off.	D4	improvement	Prosthodontics
2021-03-29 17:07:58	R_1FPWlR1UHg89kGX	Dr. Walcott showed me criteria for determining if an old amalgam should be replaced or not - very helpful!	D3	improvement	Exam/Tx Plan
2021-03-30 20:54:04	R_1FzFxVM7zeptksN	It is difficult to find the balance between being conservative with your prep and what size your composite instruments will fit into. I want to continue to work on improving my prep designs. 	D3	improvement	Restorative
2021-03-01 17:41:38	R_1qVWZIextbP8kiq	Continue to improve on caries removal and making sure entire prep is completely clean. 	D3	improvement	Restorative
2021-04-21 17:06:05	R_1DC4vsvgMUYErR6	Thanks for your help today!	D3	question	Exam/Tx Plan
2021-03-18 17:13:51	R_1duDOR6FkbN1dcV	I'd like to be better about distinguishing flash and also how much composite to remove during the prep.	D3	improvement	Restorative
2021-03-18 17:13:51	R_1duDOR6FkbN1dcV	Thank you for your help!	D3	question	Restorative
2021-04-28 17:09:42	R_1eRUZefWaZpM57u	I would like to be better at taking impressions when there is such little ridge.	D3	improvement	Prosthodontics
2021-04-28 17:09:42	R_1eRUZefWaZpM57u	Thank you for your help today.  This is going to be a challenging case!	D3	question	Prosthodontics
2021-02-03 18:06:02	R_1Ihf83UCzAfm1O2	I learned how to use the 13/14 to try and curve in to the interproximal surface when scaling	D3	improvement	Periodontics
2021-02-03 18:06:02	R_1Ihf83UCzAfm1O2	Thank you for your help!	D3	question	Periodontics
2021-03-10 15:24:07	R_1jpj7OvirG1trMA	I would like to be even more efficient at determining root caries	D3	improvement	Periodontics
2021-03-10 15:24:07	R_1jpj7OvirG1trMA	Thank you for your help!	D3	question	Periodontics
2021-02-12 15:17:12	R_1Oiw3WlOPHl8GWA	I would like to be better at quoting prices to my patients and helping them explore their options	D3	improvement	Exam/Tx Plan
2021-02-12 15:17:12	R_1Oiw3WlOPHl8GWA	Thanks for all of your help!	D3	question	Exam/Tx Plan
2021-03-26 11:53:10	R_1ovAZa8EXYMWc1Y	I'd like to be better at using the 12 blade for contouring	D3	improvement	Restorative
2021-04-03 17:36:34	R_1P4YU2w5au88Tfk	I would definitely like to open up the occlusal more with dovetails when I do proximal boxes.  It helped me be able to see substantially.	D3	improvement	Restorative
2021-04-03 17:36:34	R_1P4YU2w5au88Tfk	Thank you!	D3	question	Restorative
2021-02-18 20:57:40	R_1g8sBaeomhfsZ7x	I would like to ensure the pt bring her bitesplint with her.	D4	improvement	Restorative
2021-02-04 23:42:14	R_1MM3ZvAkpoZGceB	Capture the distal of the last tooth in my impression better. 	D4	improvement	Restorative
2021-02-20 16:18:02	R_1Cpioa42PDqUldL	Next time, I would pre-wedge sooner and open up the mesial/distal/cervical contacts faster to allow a wedge to fit easier/quicker.	D3	improvement	Restorative
2021-03-26 16:26:35	R_1dz9XSEwQxO9fXT	use 7901 for under the gingiva	D3	improvement	Restorative
2021-02-02 15:42:14	R_1Lp8RvzAr2r3JLG	Next time or in the future, it would be important to follow patient's carious lesions over time to determine if surgical treatment is necessary or if non-surgical treatment would be better.	D3	improvement	Restorative
2021-02-02 15:42:14	R_1Lp8RvzAr2r3JLG	Thanks for helping me today.	D3	question	Restorative
2021-02-26 21:21:32	R_1mWuaBYdAJyZJCm	Next time, I will spend more time instrumenting the line angles of posterior teeth as well as around the CEJ. I realized that I must go much slower and use a finer touch to detect calculus deposits in the future.	D3	improvement	Periodontics
2021-04-16 16:19:05	R_1NDpvzVsEy58XRt	I would check the dentin hardness to differentiate between caries and a crack	D3	improvement	Restorative
2021-03-09 16:38:23	R_1prPsMxYRpbRgA2	When I think Im done, I will instrument again and scrape with more force to ensure deep deposits are removed.	D3	improvement	Periodontics
2021-03-23 14:36:32	R_1q96gJ5aZ0vi7ua	next time, I will remove patient safety glasses during panoramic x-ray	D3	improvement	Restorative
2021-03-25 19:26:00	R_1r1FakOVKaFjeSL	Next time, I will better correlate clinical findings and recent caries experience with need to take bitewings.	D3	improvement	Restorative
2021-02-09 16:42:42	R_1riS0jHavXn7jcF	I would have removed the amalgam in an appointment with more time ideally.	D3	improvement	Prosthodontics
2021-02-01 18:32:24	R_241O0wuKt90XoXA	Next time, I would spend more time double checking line angles and around the CEJ, especially when calculus is located underneath the gumline.	D3	improvement	Periodontics
2021-03-09 21:30:57	R_25uS6IxEDJzjVQf	next time, I will look more closely at radiographs for faulty margins of crowns.	D3	improvement	Restorative
2021-02-10 15:31:21	R_1IGx0wCafO3vSj5	"Be better at Calculus detection
Calculus removal around 2nd molar distal"	D4	improvement	Periodontics
2021-02-10 15:31:21	R_1IGx0wCafO3vSj5	Thanks 	D4	question	Periodontics
2021-03-31 17:36:44	R_1jdIbjtkrfDlHwe	Write remarkable treatment notes	D4	improvement	Exam/Tx Plan
2021-03-31 17:36:44	R_1jdIbjtkrfDlHwe	Thank you doc! Always a pleasure working with you	D4	question	Exam/Tx Plan
2021-02-02 12:31:45	R_1lcUuOdVXFJtz0e	"Always remove the excess from the cervical margin
Use Retration cord to gain better access

"	D4	improvement	Restorative
2021-02-02 12:31:45	R_1lcUuOdVXFJtz0e	Always a pleasure working with you doc!	D4	question	Restorative
2021-02-02 17:42:15	R_1JWQsBUHhaYeb7K	Anatomy in the composite	D4	improvement	Restorative
2021-02-22 14:16:19	R_08pczPDXAQgfG5b	Ensure sore spot sufficiently relieved	D4	improvement	Prosthodontics
2021-02-15 15:31:15	R_1Lu1UN0VggtWxW6	Ensure adequate occlusal clearance better for rest seat areas	D4	improvement	Prosthodontics
2021-03-11 23:21:24	R_0UtDtsZZkjo3ruV	Review radiographs in full prior to diagnosing and treatment planning 	D4	improvement	Exam/Tx Plan
2021-01-21 01:26:43	R_1F4Jah7TYstb2IU	clinically assess arrested decay properly and properly discuss tx options for restoring tooth with questionable prognosis 	D4	improvement	Exam/Tx Plan
2021-02-11 23:36:33	R_0lKct1jWYa7FcdP	Nothing	D3	improvement	Restorative
2021-02-15 20:57:01	R_1DtzE7tnLCCs69X	Rubber dam isolation	D3	improvement	Restorative
2021-01-22 01:08:45	R_1DUdTcGtntD9pqG	Time management / better attempt at fabricating temp crown. 	D3	improvement	Prosthodontics
2021-02-27 02:35:51	R_1E7rBLXVXKI4Gn6	Time management 	D3	improvement	Restorative
2021-03-11 18:18:43	R_1ePIzjx9kTA9k60	Nothing	D3	improvement	Prosthodontics
2021-02-15 20:57:38	R_1IoViaXtkJlRSWd	Nothing	D3	improvement	Exam/Tx Plan
2021-02-15 14:51:27	R_1j7X4QRs0RD4zsi	Coordinating Endo consult beforehand expecting their absence in VICS 	D3	improvement	Exam/Tx Plan
2021-02-27 02:31:47	R_1jPAkplfNikecRj	Nothing	D3	improvement	Restorative
2021-03-05 21:44:52	R_1KiH8rUsNfozuve	Nothing	D3	improvement	Restorative
2021-02-03 13:57:47	R_1mfJCwH7R9yNTbu	Final impression technique- quicker, more efficient 	D3	improvement	Prosthodontics
2021-02-12 14:41:17	R_1mk0mnsqzTzTtHX	Verify occlusal reduction on crown preps	D3	improvement	Prosthodontics
2021-01-26 21:54:15	R_1mWA82ulGwk34UB	Time management 	D3	improvement	Prosthodontics
2021-03-19 19:48:44	R_1N36kkfnK6hRJVG	Nothing	D3	improvement	Exam/Tx Plan
2021-03-05 21:43:31	R_1pYFXGTCr3C9Nnr	This restoration was very difficult, Dr. Miller. The patient kept closing her mouth when I was restoring it and had an issue with the dry field/isolation. I wasn't happy with the job I did. 	D3	improvement	Restorative
2021-02-22 23:47:37	R_2401bDQDh13la0F	Nothing	D3	improvement	Restorative
2021-03-02 12:48:19	R_25RR9UJSycPzxEt	Nothing	D3	improvement	Restorative
2021-01-20 23:22:04	R_269cVj0VmLPFHfz	Nothing.	D3	improvement	Exam/Tx Plan
2021-01-23 17:22:57	R_11778BZWSC8AdVl	I was hesitant about removing the Zirconia crown because I was worried about damaging the underlying core/post. I think watching Dr. Heys remove it was very helpful, however. It was also challenging to remove core material on the distal margin subgingivally.	D3	improvement	Restorative
2021-02-13 21:48:58	R_1pxrAxyP3UD5jjb	Next time I would like to be able to cement the crown with less faculty assistance. I am happy to have learned how to replace composite from an implant screw hole though, as I wouldn't have thought to wet the cotton ball with bonding agent first. 	D3	improvement	Prosthodontics
2021-04-10 22:48:15	R_25v98eh5bQvqEpW	Now I know when applying PIP paste to try to make straight lines to better see the contact areas. I also learned to first adjust the balancing cusps and then the working cusps, if necessary. Finally, I learned that in some cases it is necessary, with the patient's permission, to adjust the opposing restorations/dentition to achieve appropriate occlusion.	D3	improvement	Prosthodontics
2021-02-04 21:15:26	R_12QMN3G1shFlrOB	better time management	D4	improvement	Exam/Tx Plan
2021-01-27 21:36:06	R_1HsJDHNwUYLFYyt	Have a better understanding of when to consider referring someone for hospital dentistry 	D4	improvement	Exam/Tx Plan
2021-02-22 21:50:05	R_25YZFmDXi4kA5L8	have an assistant	D4	improvement	Restorative
2021-02-26 21:28:57	R_1C180cRDeR1SbtA	"better margin, contour, contact
But also ability to know when good is good enough!"	D3	improvement	Restorative
2021-03-03 14:19:44	R_1DIRS47SGp4GfFw	Bard Parker! Especially in very tight places interproximally. 	D3	improvement	Restorative
2021-04-01 17:05:50	R_1FP0PmfWOqiGYUL	Next time, I will know right off the bat to take away what tooth structure needed to be taken away to achieve the form needed for the prep.	D3	improvement	Restorative
2021-03-16 20:33:53	R_1gncse7MwuMfHjt	"I missed #2F lesion. Pay more attention
! :)"	D3	improvement	Exam/Tx Plan
2021-04-01 20:24:52	R_1GVcNjV19NFWvFv	Thank you for your help today!	D3	improvement	Exam/Tx Plan
2021-02-06 17:33:44	R_1itxMattaAHz13v	Grateful that everything went smoothly today. Next time, I will be even more prepared on how to approach the cementation process, (when to clean cement, when to knot floss, etc)	D3	improvement	Prosthodontics
2021-02-06 17:33:44	R_1itxMattaAHz13v	Thank you Dr. Snyder!	D3	question	Prosthodontics
2021-03-12 15:01:34	R_1LcBRWWivL2EgNj	"I am getting better at diagnosing caries. At first, I think I was too trigger happy with any kind of discoloration or imperfect margin. But now, I may err on the side of ""oh, it's fine."" Today was a good reminder that although it is hard to diagnose recurrent caries, it is better safe than sorry."	D3	improvement	Exam/Tx Plan
2021-04-15 18:58:13	R_1NCWvdPSq652KIt	Next time, I will be more equipped to use the 7910 bur to help polish my restorations.	D3	improvement	Restorative
2021-04-15 18:58:13	R_1NCWvdPSq652KIt	The rubber dam ended up being very helpful without an assistant. Thank you for pushing me to try new things today! It was great working with you. 	D3	question	Restorative
2021-03-17 16:33:33	R_1nZn1xQ09gQm13F	Be more confident about restorability	D3	improvement	Exam/Tx Plan
2021-03-17 16:33:33	R_1nZn1xQ09gQm13F	Thank you for your help today! :)	D3	question	Exam/Tx Plan
2021-01-29 21:59:14	R_1PbdqXEOZecdqRg	I learned a lot today. Next time, I would think to do a medical consult when presented with a similar med hx, as opposed to having the faculty suggest the idea.	D3	improvement	Exam/Tx Plan
2021-01-29 21:59:14	R_1PbdqXEOZecdqRg	Thank you for your help today! I feel encouraged about the treatment we have planned for my patient.	D3	question	Exam/Tx Plan
2021-03-24 13:30:24	R_1pljgYMTjtHJWr2	Thank you for your help today!	D3	improvement	Prosthodontics
2021-02-01 13:48:10	R_1QnNY49RoQ4yrw4	All went smoothly today!	D3	improvement	Prosthodontics
2021-03-25 19:11:48	R_1RYdUAMFdNoO5IB	All good today :) 	D3	improvement	Prosthodontics
2021-03-22 20:46:07	R_2346zyjJuK6A5Xr	I will be confident to use the reline material myself next time :)	D3	improvement	Prosthodontics
2021-03-01 22:04:43	R_0jqREzXCzNcfgCl	One thing that I would like to do differently next time would be to be more knowledgeable about the implant retained overdenture.  This appointment has taught me a lot about it. 	D3	improvement	Exam/Tx Plan
2021-04-01 23:41:03	R_1qanlvKckGlcsVs	One thing I would like to do differently next time would be using more you statements to help make the focus on the patient. 	D3	improvement	Exam/Tx Plan
2021-03-01 15:43:44	R_2109vmNFHbG7Kkc	One thing that I would like to do differently next time would be to be more efficient with my time. 	D3	improvement	Exam/Tx Plan
2021-02-23 14:21:42	R_1ILstxBNtsHRlst	I would be better at completing case complete test cases	D4	improvement	Exam/Tx Plan
2021-01-05 18:07:17	R_1BTvIQD5iHn2zER	clean cement better	D4	improvement	Prosthodontics
2021-02-17 03:19:20	R_0CAyTPZ58oseS7n	This case was difficulty for me for some reason. Usually, I don't think I struggle this much but I now know how to handle little chips of a tooth. Thanks for helping me out	D3	improvement	Restorative
2021-04-09 14:04:57	R_10q0sEYQ7pbnTg8	I would like to improve with polishing my composites and where it meets with the margins. I want to learn to have undetectable margins in my restorations	D3	improvement	Restorative
2021-02-17 03:11:08	R_12ljzBNuflSx84a	I would like to make sure I get adequate occlusal clearance with my crown preps. I ve noticed I have been very conservative with them.	D3	improvement	Prosthodontics
2021-02-17 03:29:43	R_1E4I5ptA4TlWae3	I would like to improve on my timing for the exam. I believe the exam could've been done in a smaller amount of time considering she did not have a complicated case	D3	improvement	Restorative
2021-03-18 18:07:21	R_1fiPPfYtqVxc4EB	I would like to improve on my usage of the flame bur. I haven't gotten the chance to use it during preclinic, but I want to start using it more often to touch up flash and overextended restorations.	D3	improvement	Restorative
2021-04-09 14:06:25	R_1gSnlV62IdT2IN6	I would like to improve with my time and speed up the process of prepping and restoring. 	D3	improvement	Restorative
2021-02-17 03:35:59	R_1H670rkvLKhNDUs	I think this delivery went well. I wish I sped up the process and did not spend so much time on things that could've been done quicker. 	D3	improvement	Prosthodontics
2021-04-09 13:58:29	R_1nVAdo90Ocvcg7s	I would like to brush up on my knowledge about vital and non vital teeth. I forgot that discolored teeth may be non vital and vitality testing was necessary. Thank you for reminding me of this!	D3	improvement	Exam/Tx Plan
2021-02-17 03:02:58	R_2101mCkKt1pWV9b	I believe I could do better with my time management so my appointment time doesn't run over. However, I know this comes with practice and experience. 	D3	improvement	Prosthodontics
2021-04-09 14:01:17	R_22rh24RTVq9WTIc	I would like to improve with my speed of my exams. I understand this comes with experience and practice but I want to push myself to speed up the process and still do a thorough examination	D3	improvement	Exam/Tx Plan
2021-03-03 17:37:31	R_1LHBJWaL4njl2IJ	Question about the pain in more detail	D4	improvement	Exam/Tx Plan
2021-03-03 17:37:31	R_1LHBJWaL4njl2IJ	Thank you for your help. 	D4	question	Exam/Tx Plan
2021-03-16 20:15:31	R_1jxL22QiNSJjJkw	I filled the proximal box with flowable composite first followed by packable. Thus helped to eliminated voids at the margin.	D3	improvement	Restorative
2021-01-29 00:07:33	R_1K0HNALcbrkP5ci	The appointment went well.We decided to wait and watch the post and core for the time being, as the pt was asymptomatic.	D3	improvement	Prosthodontics
